label,start,end,trading_days,benchmark_final,benchmark_return_pct,active_final,active_return_pct,excess_pct,max_drawdown_pct,buys,sells,open_positions,case,market,closed_trades,trade_win_rate_pct,avg_trade_return_pct,median_trade_return_pct,avg_hold_days
penalty_ma5only_03_thr10,2021-01-04,2021-12-30,243,1219731.296937414,21.973129693741388,1288524.5350283592,28.852453502835917,5.6400322155933935,-13.716282658294999,944,919,25,tw_choppy_2021,tw,919,34.494015233949945,0.0451622714359824,-1.1982589545231903,7.4069640914037
penalty_no_ma5_thr10,2021-01-04,2021-12-30,243,1219731.296937414,21.973129693741388,1266568.4713346297,26.656847133462968,3.8399584002491105,-13.767777536616709,886,860,26,tw_choppy_2021,tw,860,33.95348837209302,0.03618182303980596,-1.2772829321239632,8.104651162790697
A_baseline_hard_ma5,2021-01-04,2021-12-30,243,1219731.296937414,21.973129693741388,1217918.307320775,21.79183073207751,-0.14863844366305168,-14.011527716897444,1129,1104,25,tw_choppy_2021,tw,1104,34.23913043478261,-0.07122045857227172,-1.0590478429194805,5.819746376811594
penalty_v2_ma5_03_ma10_15_thr20,2022-01-03,2022-12-30,251,815944.2595452943,-18.405574045470562,730652.9898848697,-26.934701011513027,-10.453075521109179,-30.804095953713272,405,401,4,us_bear_2022,us,401,28.179551122194514,-1.1117703743424965,-1.1662406940027625,4.740648379052369
penalty_ma5_05_ma10_15_thr20,2022-01-03,2022-12-30,251,815944.2595452943,-18.405574045470562,730652.9898848697,-26.934701011513027,-10.453075521109179,-30.804095953713272,405,401,4,us_bear_2022,us,401,28.179551122194514,-1.1117703743424965,-1.1662406940027625,4.740648379052369
penalty_ma5only_03_thr20,2022-01-03,2022-12-30,251,815944.2595452943,-18.405574045470562,730177.8285974604,-26.98221714025396,-10.51131004900132,-30.804095953713272,403,399,4,us_bear_2022,us,399,28.07017543859649,-1.1108436885593778,-1.1662406940027625,4.764411027568922
penalty_no_ma5_thr20,2022-01-03,2022-12-30,251,815944.2595452943,-18.405574045470562,725138.6286625504,-27.486137133744958,-11.128901247904821,-31.562761925522487,378,374,4,us_bear_2022,us,374,28.342245989304814,-1.2519566093969654,-1.213024552291353,5.334224598930481
A_baseline_hard_ma5,2022-01-03,2022-12-30,251,815944.2595452943,-18.405574045470562,725095.6306413343,-27.49043693586657,-11.134170973221591,-30.856947320675687,412,408,4,us_bear_2022,us,408,27.941176470588236,-1.1980809207777374,-1.1693837657969497,4.813725490196078
penalty_v2_ma5_03_ma10_15_thr10,2022-01-03,2022-12-30,251,815944.2595452943,-18.405574045470562,709359.3233726665,-29.06406766273335,-13.06277174276892,-33.03783198383986,348,344,4,us_bear_2022,us,344,26.744186046511626,-1.4887224363848324,-1.5604040644218886,6.351744186046512
penalty_ma5only_03_thr10,2022-01-03,2022-12-30,251,815944.2595452943,-18.405574045470562,706355.5457854233,-29.364445421457674,-13.430906888289428,-33.49548596603037,328,324,4,us_bear_2022,us,324,26.234567901234566,-1.5707651994967535,-1.6636150582706732,6.938271604938271
penalty_ma5_05_ma10_15_thr10,2022-01-03,2022-12-30,251,815944.2595452943,-18.405574045470562,703639.4243875496,-29.636057561245032,-13.763787641612845,-33.32993948882935,354,350,4,us_bear_2022,us,350,26.571428571428573,-1.4682038144437815,-1.49320214831819,6.117142857142857
penalty_no_ma5_thr10,2022-01-03,2022-12-30,251,815944.2595452943,-18.405574045470562,702343.4053080921,-29.765659469190787,-13.92262435923125,-33.550477876438364,319,315,4,us_bear_2022,us,315,26.666666666666668,-1.6239214137004905,-1.772645995552291,7.250793650793651
penalty_ma5only_03_thr10,2025-01-02,2026-05-28,351,1298879.2101372813,29.887921013728125,2231891.8139304747,123.18918139304746,71.83213007886864,-24.319655580354294,837,808,29,us_bull_2025_2026,us,808,41.46039603960396,2.158323661053141,-0.9478861361553403,10.70420792079208
penalty_ma5_05_ma10_15_thr10,2025-01-02,2026-05-28,351,1298879.2101372813,29.887921013728125,2223568.524030153,122.35685240301532,71.19132454165154,-23.604153834521192,896,868,28,us_bull_2025_2026,us,868,42.51152073732719,2.0515285883086323,-0.8174527713963153,9.819124423963133
penalty_no_ma5_thr10,2025-01-02,2026-05-28,351,1298879.2101372813,29.887921013728125,2217534.197501249,121.75341975012492,70.7267450425104,-24.36708490557121,805,776,29,us_bull_2025_2026,us,776,40.59278350515464,2.300119636619192,-1.07169823986219,11.143041237113403
penalty_no_ma5_thr20,2025-01-02,2026-05-28,351,1298879.2101372813,29.887921013728125,2205931.2041133214,120.59312041133214,69.83343692753168,-22.59274528916323,978,954,24,us_bull_2025_2026,us,954,42.9769392033543,1.8295329751745228,-0.6681645273711123,8.40985324947589
penalty_v2_ma5_03_ma10_15_thr10,2025-01-02,2026-05-28,351,1298879.2101372813,29.887921013728125,2185206.4302569595,118.52064302569593,68.23784792321068,-23.653090848571225,878,850,28,us_bull_2025_2026,us,850,42.470588235294116,2.0536204799547875,-0.8111834363734638,10.051764705882354
penalty_ma5only_03_thr20,2025-01-02,2026-05-28,351,1298879.2101372813,29.887921013728125,2139933.4777385206,113.99334777385204,64.75230806968928,-22.311628035104125,1133,1111,22,us_bull_2025_2026,us,1111,45.81458145814582,1.5928831349663803,-0.36538030418650225,6.898289828982898
penalty_v2_ma5_03_ma10_15_thr20,2025-01-02,2026-05-28,351,1298879.2101372813,29.887921013728125,2134962.4940755917,113.49624940755918,64.36959475623163,-22.311628035104125,1139,1117,22,us_bull_2025_2026,us,1117,45.74753804834378,1.5769491930713424,-0.3789227317459565,6.851387645478962
penalty_ma5_05_ma10_15_thr20,2025-01-02,2026-05-28,351,1298879.2101372813,29.887921013728125,2134962.4940755917,113.49624940755918,64.36959475623163,-22.311628035104125,1139,1117,22,us_bull_2025_2026,us,1117,45.74753804834378,1.5769491930713424,-0.3789227317459565,6.851387645478962
A_baseline_hard_ma5,2025-01-02,2026-05-28,351,1298879.2101372813,29.887921013728125,1989334.807209313,98.93348072093129,53.15779879170257,-24.85351579986762,1192,1168,24,us_bull_2025_2026,us,1168,46.06164383561644,1.3120985140467278,-0.33818058198322176,6.5881849315068495
penalty_v2_ma5_03_ma10_15_thr20,2021-01-04,2021-12-31,252,1282383.1433864636,28.238314338646365,1278211.8955297736,27.821189552977366,-0.32527313527178636,-6.166858320325563,796,783,13,us_choppy_2021,us,783,41.37931034482759,0.1720958334631767,-0.5328766486672243,5.984674329501916
penalty_ma5_05_ma10_15_thr20,2021-01-04,2021-12-31,252,1282383.1433864636,28.238314338646365,1278211.8955297736,27.821189552977366,-0.32527313527178636,-6.166858320325563,796,783,13,us_choppy_2021,us,783,41.37931034482759,0.1720958334631767,-0.5328766486672243,5.984674329501916
penalty_ma5only_03_thr20,2021-01-04,2021-12-31,252,1282383.1433864636,28.238314338646365,1272079.705912727,27.20797059127269,-0.8034601458131951,-6.173411091104097,794,781,13,us_choppy_2021,us,781,41.2291933418694,0.1559163114089174,-0.5443754413751334,6.008962868117798
A_baseline_hard_ma5,2021-01-04,2021-12-31,252,1282383.1433864636,28.238314338646365,1245151.7012260924,24.51517012260924,-2.903300963708244,-6.600745495528804,829,821,8,us_choppy_2021,us,821,41.90012180267966,0.12975416786251515,-0.512814731571043,5.9573690621193665
penalty_no_ma5_thr20,2021-01-04,2021-12-31,252,1282383.1433864636,28.238314338646365,1236952.2591808243,23.695225918082418,-3.542691935708653,-7.183827482745642,710,693,17,us_choppy_2021,us,693,39.105339105339105,0.09844017629835541,-0.7187773843978396,7.213564213564213
penalty_no_ma5_thr10,2021-01-04,2021-12-31,252,1282383.1433864636,28.238314338646365,1222531.5856024744,22.25315856024743,-4.667213390370661,-8.067028072230853,582,563,19,us_choppy_2021,us,563,38.36589698046181,0.09028706285121389,-0.913868886179281,9.880994671403197
penalty_ma5only_03_thr10,2021-01-04,2021-12-31,252,1282383.1433864636,28.238314338646365,1219496.0271144211,21.949602711442108,-4.90392567902701,-8.043865486579072,604,585,19,us_choppy_2021,us,585,38.97435897435898,0.07325190325781837,-0.8246344555395635,9.415384615384616
penalty_ma5_05_ma10_15_thr10,2021-01-04,2021-12-31,252,1282383.1433864636,28.238314338646365,1206324.7069975687,20.632470699756865,-5.931022782165007,-7.7975276408117855,658,639,19,us_choppy_2021,us,639,37.558685446009385,0.01620299393070344,-0.810344868359758,8.195618153364633
penalty_v2_ma5_03_ma10_15_thr10,2021-01-04,2021-12-31,252,1282383.1433864636,28.238314338646365,1206267.4267753847,20.62674267753848,-5.935489483281553,-7.9981568419903,642,623,19,us_choppy_2021,us,623,38.20224719101123,0.03434487605969795,-0.7832754872676873,8.52808988764045
