label,start,end,trading_days,benchmark_final,benchmark_return_pct,active_final,active_return_pct,excess_pct,max_drawdown_pct,buys,sells,open_positions,case,entry,closed_trades,trade_win_rate_pct,avg_trade_return_pct,median_trade_return_pct,avg_hold_days
ma5_and_market_break_ma10,2025-01-02,2026-05-28,351,1298879.3011588438,29.887930115884377,2112090.7670165,111.20907670164999,62.608701603922626,-26.786681848817462,616,587,29,us_bull_2025_2026,new_above_all_ma_and_score>=50%,587,45.4855195911414,2.6626589525780004,-0.440761177715443,14.158432708688245
baseline_ma5,2025-01-02,2026-05-28,351,1298879.3011588438,29.887930115884377,2004160.1124635634,100.41601124635635,54.29918012208501,-24.945830022791515,1178,1154,24,us_bull_2025_2026,new_above_all_ma_and_score>=50%,1154,46.2738301559792,1.333194685816766,-0.30188601615773747,6.593587521663778
break_big_bull_low,2025-01-02,2026-05-28,351,1298879.3011588438,29.887930115884377,1779908.7761098242,77.99087761098242,37.03419359457125,-24.985883682275855,181,150,31,us_bull_2025_2026,new_above_all_ma_and_score>=50%,150,38.666666666666664,4.312622134875581,-2.91871264045494,48.053333333333335
break_big_bull_low_and_vol_1_3x,2025-01-02,2026-05-28,351,1298879.3011588438,29.887930115884377,1563425.6021398439,56.342560213984385,20.36727359847641,-28.181624533159066,135,104,31,us_bull_2025_2026,new_above_all_ma_and_score>=50%,104,39.42307692307692,3.4996017584670644,-5.3749218199028945,63.22115384615385
break_prev3_low,2021-01-04,2021-12-31,252,1282382.493296105,28.238249329610497,1305962.9222129448,30.596292221294476,1.8387984115590283,-7.240076149691522,468,445,23,us_choppy_2021,new_above_all_ma_and_score>=50%,445,41.34831460674157,0.4792613588004128,-0.913882139448341,13.714606741573034
ma5_and_break_prev3_low,2021-01-04,2021-12-31,252,1282382.493296105,28.238249329610497,1305962.9222129448,30.596292221294476,1.8387984115590283,-7.240076149691522,468,445,23,us_choppy_2021,new_above_all_ma_and_score>=50%,445,41.34831460674157,0.4792613588004128,-0.913882139448341,13.714606741573034
ma5_and_break_prev2_low,2021-01-04,2021-12-31,252,1282382.493296105,28.238249329610497,1293938.1571156706,29.393815711567072,0.901108981132781,-6.094358305972447,647,633,14,us_choppy_2021,new_above_all_ma_and_score>=50%,633,40.28436018957346,0.32886065458660807,-0.7308048307052672,8.66824644549763
break_prev2_low,2021-01-04,2021-12-31,252,1282382.493296105,28.238249329610497,1282630.7810910752,28.26307810910751,0.01936144607932455,-6.638899500091322,661,647,14,us_choppy_2021,new_above_all_ma_and_score>=50%,647,40.34003091190108,0.28249465265541773,-0.7319529126044055,8.321483771251932
baseline_ma5,2021-01-04,2021-12-31,252,1282382.493296105,28.238249329610497,1259980.9770572935,25.99809770572936,-1.7468669726793284,-6.576094486910156,827,819,8,us_choppy_2021,new_above_all_ma_and_score>=50%,819,41.88034188034188,0.151288304083741,-0.5144281670566242,5.9523809523809526
penalty_adjusted_score_lt_20pct,2021-01-04,2021-12-31,252,1282382.493296105,28.238249329610497,1250255.5630322932,25.025556303229312,-2.50525334147661,-7.215163609764819,709,692,17,us_choppy_2021,new_above_all_ma_and_score>=50%,692,38.872832369942195,0.1260550374340517,-0.7223964648765846,7.196531791907514
penalty_adjusted_score_lt_10pct,2021-01-04,2021-12-31,252,1282382.493296105,28.238249329610497,1232398.8422589218,23.239884225892183,-3.897717825881286,-8.05165972709656,581,562,19,us_choppy_2021,new_above_all_ma_and_score>=50%,562,38.07829181494662,0.1165241810580923,-0.9169556252373645,9.850533807829182
ma5_score_lt_10pct,2021-01-04,2021-12-31,252,1282382.493296105,28.238249329610497,1226628.2335439303,22.662823354393026,-4.347709052770177,-8.340794179301515,313,289,24,us_choppy_2021,new_above_all_ma_and_score>=50%,289,41.17647058823529,0.4264253145847088,-1.1623962065929971,24.653979238754324
ma5_score_lt_20pct,2021-01-04,2021-12-31,252,1282382.493296105,28.238249329610497,1213445.5199858472,21.344551998584716,-5.37569513547157,-7.995013423204888,389,369,20,us_choppy_2021,new_above_all_ma_and_score>=50%,369,41.46341463414634,0.3739288425403776,-0.7316646404597948,17.991869918699187
break_prev5_low,2021-01-04,2021-12-31,252,1282382.493296105,28.238249329610497,1211657.855469947,21.16578554699471,-5.515096953980914,-7.285175160069157,354,331,23,us_choppy_2021,new_above_all_ma_and_score>=50%,331,41.08761329305136,0.45374446821942827,-0.7832824612807876,19.731117824773413
ma5_and_break_prev5_low,2021-01-04,2021-12-31,252,1282382.493296105,28.238249329610497,1211657.855469947,21.16578554699471,-5.515096953980914,-7.285175160069157,354,331,23,us_choppy_2021,new_above_all_ma_and_score>=50%,331,41.08761329305136,0.45374446821942827,-0.7832824612807876,19.731117824773413
ma5_down_vol_1_5x,2021-01-04,2021-12-31,252,1282382.493296105,28.238249329610497,1204631.3012198247,20.463130121982466,-6.063026630723611,-8.990990349244331,250,224,26,us_choppy_2021,new_above_all_ma_and_score>=50%,224,47.767857142857146,1.197165414168371,-0.752505972573736,33.075892857142854
ma5_down_vol_1_3x,2021-01-04,2021-12-31,252,1282382.493296105,28.238249329610497,1202245.7096440864,20.224570964408638,-6.249054714248558,-9.464775953472415,322,297,25,us_choppy_2021,new_above_all_ma_and_score>=50%,297,44.107744107744104,0.8953207647208897,-0.9669362448276653,23.962962962962962
break_ma10,2021-01-04,2021-12-31,252,1282382.493296105,28.238249329610497,1200602.4631396027,20.060246313960263,-6.377194837267563,-7.957897456015351,608,589,19,us_choppy_2021,new_above_all_ma_and_score>=50%,589,37.011884550084886,0.07105044420509578,-0.975247420812253,9.235993208828523
ma5_and_market_break_ma10,2021-01-04,2021-12-31,252,1282382.493296105,28.238249329610497,1167460.698848908,16.7460698848908,-8.961584788311761,-7.783175877665438,447,428,19,us_choppy_2021,new_above_all_ma_and_score>=50%,428,39.48598130841122,-0.33881040934789036,-0.9781274567871368,13.621495327102803
market_break_ma10_sell_lowest_50pct,2021-01-04,2021-12-31,252,1282382.493296105,28.238249329610497,1161818.2052015422,16.181820520154222,-9.401585620891984,-7.730106708270812,450,433,17,us_choppy_2021,new_above_all_ma_and_score>=50%,433,39.4919168591224,-0.347022556853023,-0.8954127038237503,12.554272517321015
break_big_bull_low_and_vol_1_3x,2021-01-04,2021-12-31,252,1282382.493296105,28.238249329610497,1158156.8386900485,15.815683869004848,-9.687098448042553,-9.91787896679156,95,66,29,us_choppy_2021,new_above_all_ma_and_score>=50%,66,34.84848484848485,-0.398936130879289,-3.072065020964648,75.66666666666667
break_ma20,2021-01-04,2021-12-31,252,1282382.493296105,28.238249329610497,1154568.3320596225,15.456833205962251,-9.966929672282255,-7.6203541715532115,372,350,22,us_choppy_2021,new_above_all_ma_and_score>=50%,350,37.42857142857143,0.0667502824440281,-1.28794936875673,17.68285714285714
market_break_ma10_score_lt_20pct,2021-01-04,2021-12-31,252,1282382.493296105,28.238249329610497,1121409.461309711,12.140946130971098,-12.552653582523988,-9.527560937425061,258,239,19,us_choppy_2021,new_above_all_ma_and_score>=50%,239,40.58577405857741,-0.09113252655434749,-1.0283088884010194,26.489539748953973
break_big_bull_low,2021-01-04,2021-12-31,252,1282382.493296105,28.238249329610497,1120918.5194162386,12.091851941623855,-12.59093715985281,-10.797269165957701,108,80,28,us_choppy_2021,new_above_all_ma_and_score>=50%,80,37.5,-0.5116461205383961,-3.009377842465666,58.8875
