symbol,market,date,gap_type,gap_size,vol_ratio,vol_confirmed,makes_new_high,fast_filled,unfilled_10d,excess10,excess20,excess60,post20,post60
1477.TW,tw,2022-06-29,down,0.0316,4.83,True,False,False,False,-0.014,-0.0326,0.4123,0.1415,0.496
1477.TW,tw,2022-07-12,down,0.0309,1.41,False,False,False,False,-0.0577,0.1054,0.4028,0.2575,0.5521
1477.TW,tw,2022-08-05,up,0.0196,4.19,True,True,False,True,0.0782,0.1853,0.4188,0.2102,0.3429
1477.TW,tw,2022-08-11,up,0.0276,3.53,True,True,False,True,0.0564,0.168,0.3585,0.1263,0.2251
1477.TW,tw,2022-08-29,down,0.0163,0.42,False,False,False,False,0.1504,0.1701,0.2462,0.1191,0.1685
1477.TW,tw,2022-10-04,up,0.0109,0.38,False,False,True,False,0.12,0.115,0.2296,-0.0312,-0.0299
1477.TW,tw,2023-06-16,up,0.0276,5.75,True,True,True,False,0.1974,0.1311,0.2825,-0.0232,0.1047
1477.TW,tw,2024-01-18,down,0.0219,3.24,True,False,False,False,0.0144,-0.0281,-0.005,-0.1251,-0.1082
1477.TW,tw,2024-08-05,down,0.0456,0.62,False,False,False,False,-0.1359,-0.1287,-0.3201,0.0036,-0.153
1477.TW,tw,2024-11-01,down,0.0206,3.48,True,False,False,False,0.0572,0.0378,0.0816,-0.1004,0.0273
1477.TW,tw,2024-11-20,down,0.0175,1.84,True,False,False,False,-0.0079,0.0094,0.1944,0.0632,0.2127
1477.TW,tw,2025-04-07,down,0.0851,0.16,False,False,False,False,-0.1346,-0.2094,-0.3426,-0.0327,-0.259
1477.TW,tw,2025-04-08,down,0.1,1.03,False,False,False,False,-0.0332,-0.0999,-0.3068,-0.0704,-0.2945
1477.TW,tw,2025-04-09,down,0.0994,0.68,False,False,False,False,0.0593,-0.0334,-0.2329,-0.0948,-0.3302
1477.TW,tw,2025-04-10,up,0.0952,2.86,True,False,True,False,0.0719,-0.0041,-0.2043,-0.1389,-0.3047
1477.TW,tw,2025-05-05,down,0.032,1.26,False,False,False,False,0.0422,0.0107,-0.1351,-0.1776,-0.2552
1477.TW,tw,2025-05-06,down,0.0117,2.73,True,False,False,False,0.0455,-0.0239,-0.1268,-0.1731,-0.2006
1477.TW,tw,2025-06-02,down,0.0128,1.24,False,False,False,False,-0.1848,-0.2158,-0.189,-0.0122,0.0553
1477.TW,tw,2025-10-03,down,0.0125,1.25,False,False,False,False,-0.0103,-0.037,-0.0764,0.143,0.0066
1477.TW,tw,2025-10-16,up,0.0162,1.43,False,False,False,False,-0.0938,0.0883,-0.0528,0.2136,0.0455
1477.TW,tw,2025-11-07,up,0.0234,3.33,True,True,False,True,0.0618,0.0341,-0.1149,-0.0409,-0.3101
1477.TW,tw,2025-11-26,up,0.0146,1.57,True,True,False,False,-0.1203,-0.1155,-0.2948,-0.0197,-0.2301
1503.TW,tw,2018-10-11,down,0.0162,0.76,False,False,False,False,0.0024,-0.0335,0.0421,0.0188,0.0144
1503.TW,tw,2019-05-16,up,0.0129,5.58,True,True,False,True,0.1029,0.0497,-0.0233,-0.0621,-0.109
1503.TW,tw,2020-07-16,up,0.0119,7.94,True,True,True,False,-0.186,-0.1742,-0.1616,0.0487,0.0811
1503.TW,tw,2022-07-05,up,0.0131,1.01,False,True,True,False,-0.0317,-0.0337,-0.0147,-0.0606,-0.0165
1503.TW,tw,2022-10-11,down,0.0108,1.68,True,False,False,False,0.0489,0.015,0.0553,-0.1526,-0.1196
1503.TW,tw,2023-02-16,up,0.0148,8.98,True,True,False,True,0.0672,0.0767,0.7285,-0.0309,0.8497
1503.TW,tw,2023-04-12,up,0.0167,4.85,True,True,False,True,0.0577,0.1811,0.5365,0.384,0.448
1503.TW,tw,2023-07-19,down,0.0162,1.56,True,False,False,False,-0.0208,-0.0824,-0.2572,-0.0618,-0.2712
1503.TW,tw,2023-12-06,up,0.0164,6.85,True,True,False,False,-0.1222,-0.1241,0.1821,-0.0284,1.5176
1503.TW,tw,2023-12-28,up,0.0172,1.4,False,False,True,False,-0.0449,-0.0783,1.2391,0.1594,1.635
1503.TW,tw,2024-04-01,up,0.0156,0.19,False,False,False,True,0.0993,-0.0653,-0.2188,-0.3024,-0.3838
1503.TW,tw,2024-05-13,down,0.0143,0.92,False,False,False,False,-0.1264,-0.117,-0.2589,0.1614,-0.124
1503.TW,tw,2024-08-05,down,0.0655,0.54,False,False,False,False,-0.0844,-0.0402,-0.2178,-0.0139,-0.1363
