symbol,market,sector_official,industry_group,industry,source
LITE,us,Technology,Communication Equipment,Communication Equipment,yfinance quoteSummary
LLY,us,Healthcare,Drug Manufacturers - General,Drug Manufacturers - General,yfinance quoteSummary
LMT,us,Industrials,Aerospace & Defense,Aerospace & Defense,yfinance quoteSummary
LNG,us,Energy,Oil & Gas Midstream,Oil & Gas Midstream,yfinance quoteSummary
LRCX,us,Technology,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,yfinance quoteSummary
MA,us,Financial Services,Credit Services,Credit Services,yfinance quoteSummary
MAR,us,Consumer Cyclical,Lodging,Lodging,yfinance quoteSummary
MCD,us,Consumer Cyclical,Restaurants,Restaurants,yfinance quoteSummary
MDB,us,Technology,Software - Infrastructure,Software - Infrastructure,yfinance quoteSummary
META,us,Communication Services,Internet Content & Information,Internet Content & Information,yfinance quoteSummary
MMM,us,Industrials,Conglomerates,Conglomerates,yfinance quoteSummary
MRVL,us,Technology,Semiconductors,Semiconductors,yfinance quoteSummary
MSFT,us,Technology,Software - Infrastructure,Software - Infrastructure,yfinance quoteSummary
MU,us,Technology,Semiconductors,Semiconductors,yfinance quoteSummary
NET,us,Technology,Software - Infrastructure,Software - Infrastructure,yfinance quoteSummary
NFLX,us,Communication Services,Entertainment,Entertainment,yfinance quoteSummary
NOW,us,Technology,Software - Application,Software - Application,yfinance quoteSummary
NVDA,us,Technology,Semiconductors,Semiconductors,yfinance quoteSummary
NXPI,us,Technology,Semiconductors,Semiconductors,yfinance quoteSummary
OKLO,us,Utilities,Utilities - Independent Power Producers,Utilities - Independent Power Producers,yfinance quoteSummary
OKTA,us,Technology,Software - Infrastructure,Software - Infrastructure,yfinance quoteSummary
ON,us,Technology,Semiconductors,Semiconductors,yfinance quoteSummary
ONDS,us,Technology,Communication Equipment,Communication Equipment,yfinance quoteSummary
ORCL,us,Technology,Software - Infrastructure,Software - Infrastructure,yfinance quoteSummary
PLTR,us,Technology,Software - Infrastructure,Software - Infrastructure,yfinance quoteSummary
QCOM,us,Technology,Semiconductors,Semiconductors,yfinance quoteSummary
RKLB,us,Industrials,Aerospace & Defense,Aerospace & Defense,yfinance quoteSummary
RTX,us,Industrials,Aerospace & Defense,Aerospace & Defense,yfinance quoteSummary
SHOP,us,Technology,Software - Application,Software - Application,yfinance quoteSummary
SNDK,us,Technology,Computer Hardware,Computer Hardware,yfinance quoteSummary
SNOW,us,Technology,Software - Application,Software - Application,yfinance quoteSummary
SPOT,us,Communication Services,Internet Content & Information,Internet Content & Information,yfinance quoteSummary
TSLA,us,Consumer Cyclical,Auto Manufacturers,Auto Manufacturers,yfinance quoteSummary
TSM,us,Technology,Semiconductors,Semiconductors,yfinance quoteSummary
TXN,us,Technology,Semiconductors,Semiconductors,yfinance quoteSummary
U,us,Technology,Software - Application,Software - Application,yfinance quoteSummary
UBER,us,Technology,Software - Application,Software - Application,yfinance quoteSummary
UNH,us,Healthcare,Healthcare Plans,Healthcare Plans,yfinance quoteSummary
V,us,Financial Services,Credit Services,Credit Services,yfinance quoteSummary
VRT,us,Industrials,Electrical Equipment & Parts,Electrical Equipment & Parts,yfinance quoteSummary
WDAY,us,Technology,Software - Application,Software - Application,yfinance quoteSummary
WMT,us,Consumer Defensive,Discount Stores,Discount Stores,yfinance quoteSummary
XYZ,us,Technology,Software - Infrastructure,Software - Infrastructure,yfinance quoteSummary
